Staff,Total_Bills,Total_Items_Sold,Total_Sales,Average_Per_Bill,Average_Per_Cover,Average_Selling_Price
UU,12,32,15610.0,1300.8333333333333,15610.0,371.6666666666667
Multiple,279,664,497500.0,1783.1541218637992,15546.875,595.0956937799043
MK,270,2099,1155079.0,4278.07037037037,2352.5030549898165,396.3894989704873
TB,23,179,296160.0,12876.521739130434,2115.4285714285716,710.2158273381295
SK,265,1936,960219.0,3623.467924528302,2078.396103896104,381.6450715421304
SM,195,1533,777187.0,3985.574358974359,2045.2289473684211,373.64759615384617
TD,252,2004,1036951.0,4114.8849206349205,1892.2463503649635,393.7539396240744
SS,2,3,610.0,305.0,,122.0
